"","Observations","Posterior","Candidate"
"1",100,0,"HRNJAK Ethan"
"2",100,0,"MAWSON Greg"
"3",100,0.236,"REGAN Michael"
"4",100,0,"SORENSEN Susan"
"5",100,0.764,"WILLIAMS Toby"
"6",100,0,"WRIGHT Sue"
"7",200,0,"HRNJAK Ethan"
"8",200,0,"MAWSON Greg"
"9",200,0.446,"REGAN Michael"
"10",200,0,"SORENSEN Susan"
"11",200,0.554,"WILLIAMS Toby"
"12",200,0,"WRIGHT Sue"
"13",300,0,"HRNJAK Ethan"
"14",300,0,"MAWSON Greg"
"15",300,0.838,"REGAN Michael"
"16",300,0,"SORENSEN Susan"
"17",300,0.162,"WILLIAMS Toby"
"18",300,0,"WRIGHT Sue"
"19",400,0,"HRNJAK Ethan"
"20",400,0,"MAWSON Greg"
"21",400,0.93,"REGAN Michael"
"22",400,0,"SORENSEN Susan"
"23",400,0.07,"WILLIAMS Toby"
"24",400,0,"WRIGHT Sue"
"25",500,0,"HRNJAK Ethan"
"26",500,0,"MAWSON Greg"
"27",500,0.956,"REGAN Michael"
"28",500,0,"SORENSEN Susan"
"29",500,0.044,"WILLIAMS Toby"
"30",500,0,"WRIGHT Sue"
"31",600,0,"HRNJAK Ethan"
"32",600,0,"MAWSON Greg"
"33",600,0.896,"REGAN Michael"
"34",600,0,"SORENSEN Susan"
"35",600,0.104,"WILLIAMS Toby"
"36",600,0,"WRIGHT Sue"
"37",700,0,"HRNJAK Ethan"
"38",700,0,"MAWSON Greg"
"39",700,0.98,"REGAN Michael"
"40",700,0,"SORENSEN Susan"
"41",700,0.02,"WILLIAMS Toby"
"42",700,0,"WRIGHT Sue"
"43",800,0,"HRNJAK Ethan"
"44",800,0,"MAWSON Greg"
"45",800,0.996,"REGAN Michael"
"46",800,0,"SORENSEN Susan"
"47",800,0.004,"WILLIAMS Toby"
"48",800,0,"WRIGHT Sue"
"49",900,0,"HRNJAK Ethan"
"50",900,0,"MAWSON Greg"
"51",900,0.994,"REGAN Michael"
"52",900,0,"SORENSEN Susan"
"53",900,0.006,"WILLIAMS Toby"
"54",900,0,"WRIGHT Sue"
"55",1000,0,"HRNJAK Ethan"
"56",1000,0,"MAWSON Greg"
"57",1000,0.996,"REGAN Michael"
"58",1000,0,"SORENSEN Susan"
"59",1000,0.004,"WILLIAMS Toby"
"60",1000,0,"WRIGHT Sue"
"61",1100,0,"HRNJAK Ethan"
"62",1100,0,"MAWSON Greg"
"63",1100,0.988,"REGAN Michael"
"64",1100,0,"SORENSEN Susan"
"65",1100,0.012,"WILLIAMS Toby"
"66",1100,0,"WRIGHT Sue"
"67",1200,0,"HRNJAK Ethan"
"68",1200,0,"MAWSON Greg"
"69",1200,0.986,"REGAN Michael"
"70",1200,0,"SORENSEN Susan"
"71",1200,0.014,"WILLIAMS Toby"
"72",1200,0,"WRIGHT Sue"
"73",1300,0,"HRNJAK Ethan"
"74",1300,0,"MAWSON Greg"
"75",1300,0.996,"REGAN Michael"
"76",1300,0,"SORENSEN Susan"
"77",1300,0.004,"WILLIAMS Toby"
"78",1300,0,"WRIGHT Sue"
"79",1400,0,"HRNJAK Ethan"
"80",1400,0,"MAWSON Greg"
"81",1400,0.984,"REGAN Michael"
"82",1400,0,"SORENSEN Susan"
"83",1400,0.016,"WILLIAMS Toby"
"84",1400,0,"WRIGHT Sue"
"85",1500,0,"HRNJAK Ethan"
"86",1500,0,"MAWSON Greg"
"87",1500,0.972,"REGAN Michael"
